cep;logradouro;complemento;bairro;localidade;uf;ibge;gia;ddd;siafi
05220-020;Praça Rei;s/n;Vila Santa Cruz;São Paulo;SP;3550308;1004;11;7107
05887-235;Praça Axé;s/n;Parque Fernanda;São Paulo;SP;3550308;1004;11;7107
03192-230;Praça Pien;s/n;Vila Oratório;São Paulo;SP;3550308;1004;11;7107
02134-050;Praça Yedo;s/n;Vila Maria Alta;São Paulo;SP;3550308;1004;11;7107
03725-040;Praça Gaje;s/n;Engenheiro Goulart;São Paulo;SP;3550308;1004;11;7107
04716-100;Praça Agra;s/n;Chácara Santo Antônio (Zona Sul);São Paulo;SP;3550308;1004;11;7107
04116-230;Praça Kant;s/n;Jardim Vila Mariana;São Paulo;SP;3550308;1004;11;7107
08121-050;Praça Guom;s/n;Jardim São Luís (Zona Leste);São Paulo;SP;3550308;1004;11;7107
03360-080;Praça Skal;s/n;Vila Formosa;São Paulo;SP;3550308;1004;11;7107
04118-110;Praça Gute;s/n;Vila Mariana;São Paulo;SP;3550308;1004;11;7107
03518-065;Praça Opala;s/n;Vila Euthalia;São Paulo;SP;3550308;1004;11;7107
05511-030;Praça M'Boi;s/n;Butantã;São Paulo;SP;3550308;1004;11;7107
02132-150;Praça Tokio;s/n;Jardim Japão;São Paulo;SP;3550308;1004;11;7107
03731-200;Praça Ereá;s/n;Vila Londrina;São Paulo;SP;3550308;1004;11;7107
03679-130;Praça Itira;s/n;Vila São Francisco (Zona Leste);São Paulo;SP;3550308;1004;11;7107
04756-077;Praça Aller;s/n;Jardim Internacional;São Paulo;SP;3550308;1004;11;7107
04852-060;Praça Ibitu;s/n;Jardim Shangrilá (Zona Sul);São Paulo;SP;3550308;1004;11;7107
04664-090;Praça Elfos;s/n;Jardim Marajoara;São Paulo;SP;3550308;1004;11;7107
02124-010;Praça Chiba;s/n;Jardim Japão;São Paulo;SP;3550308;1004;11;7107
02404-052;Praça Iauti;s/n;Santana;São Paulo;SP;3550308;1004;11;7107
05776-380;Praça Cinza;s/n;Vila Franca;São Paulo;SP;3550308;1004;11;7107
03445-010;Praça Duere;s/n;Vila Carrão;São Paulo;SP;3550308;1004;11;7107
03153-090;Praça Nobel;s/n;Jardim Ibitirama;São Paulo;SP;3550308;1004;11;7107
03356-050;Praça Coxim;s/n;Vila Formosa;São Paulo;SP;3550308;1004;11;7107
02347-040;Praça Capri;s/n;Jardim Leonor Mendes de Barros;São Paulo;SP;3550308;1004;11;7107
03456-100;Praça Aguim;s/n;Jardim Aricanduva;São Paulo;SP;3550308;1004;11;7107
05043-060;Praça Tupã;s/n;Água Branca;São Paulo;SP;3550308;1004;11;7107
04917-060;Praça Risor;s/n;Jardim São Joaquim;São Paulo;SP;3550308;1004;11;7107
05386-210;Praça Arruda;s/n;Vila Dalva;São Paulo;SP;3550308;1004;11;7107
03213-010;Praça Caipé;s/n;Vila Califórnia;São Paulo;SP;3550308;1004;11;7107
04664-160;Praça Amoray;s/n;Jardim Marajoara;São Paulo;SP;3550308;1004;11;7107
04187-015;Praça Rovigo;s/n;Jardim Maristela;São Paulo;SP;3550308;1004;11;7107
04771-001;Praça Berlim;s/n;Jardim dos Lagos;São Paulo;SP;3550308;1004;11;7107
01001-000;Praça da Sé;lado ímpar;Sé;São Paulo;SP;3550308;1004;11;7107
04915-160;Praça Tandil;s/n;Jardim Figueira Grande;São Paulo;SP;3550308;1004;11;7107
01001-901;Praça da Sé;371;Sé;São Paulo;SP;3550308;1004;11;7107
01120-010;Praça da Luz;s/n;Bom Retiro;São Paulo;SP;3550308;1004;11;7107
03189-090;Praça Cajobi;s/n;Vila Oratório;São Paulo;SP;3550308;1004;11;7107
04944-160;Praça Guarus;s/n;Parque do Lago;São Paulo;SP;3550308;1004;11;7107
01223-020;Praça Rotary;s/n;Vila Buarque;São Paulo;SP;3550308;1004;11;7107
05796-030;Praça Gorele;s/n;Jardim Vale das Virtudes;São Paulo;SP;3550308;1004;11;7107
04785-050;Praça Israel;s/n;Jardim Guarapiranga;São Paulo;SP;3550308;1004;11;7107
05174-280;Praça Aveiro;s/n;Jardim Regina;São Paulo;SP;3550308;1004;11;7107
02124-030;Praça Nippon;s/n;Jardim Japão;São Paulo;SP;3550308;1004;11;7107
01001-001;Praça da Sé;lado par;Sé;São Paulo;SP;3550308;1004;11;7107
05453-060;Praça Japuba;s/n;Vila Madalena;São Paulo;SP;3550308;1004;11;7107
04473-275;Praça Pedros;s/n;Santa Amélia;São Paulo;SP;3550308;1004;11;7107
05441-070;Praça Cazuza;s/n;Sumarezinho;São Paulo;SP;3550308;1004;11;7107
05692-120;Praça Elmira;s/n;Vila Tramontano;São Paulo;SP;3550308;1004;11;7107
49063-100;Rua da Praça;s/n;Japãozinho;Aracaju;SE;2800308;;79;3105
49010-240;Praça Camerino;de 257 ao fim - lado ímpar;Centro;Aracaju;SE;2800308;;79;3105
49010-260;Praça Camerino;lado par;Centro;Aracaju;SE;2800308;;79;3105
49015-060;Praça Camerino;de 153 a 255 - lado ímpar;São José;Aracaju;SE;2800308;;79;3105
49010-220;Praça Camerino;até 151 - lado ímpar;Centro;Aracaju;SE;2800308;;79;3105
49038-290;Praça das Mães;s/n;Aeroporto;Aracaju;SE;2800308;;79;3105
49040-600;Praça Tiradentes;s/n;Inácio Barbosa;Aracaju;SE;2800308;;79;3105
49055-090;Praça da Bandeira;de 137 a 289 - lado ímpar;Cirurgia;Aracaju;SE;2800308;;79;3105
49035-440;Praça José Alves;s/n;Atalaia;Aracaju;SE;2800308;;79;3105
49020-500;Praça da Imprensa;s/n;Treze de Julho;Aracaju;SE;2800308;;79;3105
49010-510;Praça da Bandeira;até 135 - lado ímpar;Centro;Aracaju;SE;2800308;;79;3105
49010-580;Praça João XXIII;s/n;Centro;Aracaju;SE;2800308;;79;3105
49015-020;Praça da Bandeira;de 2 a 136 - lado par;São José;Aracaju;SE;2800308;;79;3105
49010-320;Praça da Bandeira;de 138 a 99998 - lado par;Centro;Aracaju;SE;2800308;;79;3105
49010-470;Praça da Bandeira;de 291 ao fim - lado ímpar;Centro;Aracaju;SE;2800308;;79;3105
49075-640;Praça Iracyr Silva;s/n;Siqueira Campos;Aracaju;SE;2800308;;79;3105
49045-103;Praça Rubens Paiva;s/n;Luzia;Aracaju;SE;2800308;;79;3105
49072-790;Praça Frei Demetri;s/n;Dezoito do Forte;Aracaju;SE;2800308;;79;3105
49092-560;Praça Josefa Nunes;s/n;Olaria;Aracaju;SE;2800308;;79;3105
49041-160;Praça Zé Pretinho;s/n;Inácio Barbosa;Aracaju;SE;2800308;;79;3105
49045-630;Praça Raul Batista;s/n;Luzia;Aracaju;SE;2800308;;79;3105
49080-490;Praça da República;s/n;América;Aracaju;SE;2800308;;79;3105
49035-150;Praça Carvalho Neto;s/n;Atalaia;Aracaju;SE;2800308;;79;3105
49048-420;Praça Anival Dantas;s/n;Luzia;Aracaju;SE;2800308;;79;3105
49087-430;Praça Mário Valois;s/n;Santos Dumont;Aracaju;SE;2800308;;79;3105
49025-520;Praça Oliveira Belo;s/n;Grageru;Aracaju;SE;2800308;;79;3105
49055-010;Praça Accioly Porto;s/n;Getúlio Vargas;Aracaju;SE;2800308;;79;3105
49037-570;Praça Santos Dumont;s/n;Aeroporto;Aracaju;SE;2800308;;79;3105
49065-500;Praça Liberato Costa;s/n;Industrial;Aracaju;SE;2800308;;79;3105
49010-908;Praça Fausto Cardoso;327;Centro;Aracaju;SE;2800308;;79;3105
49032-260;Praça Florival Brito;s/n;Farolândia;Aracaju;SE;2800308;;79;3105
49010-080;Praça Fausto Cardoso;s/n;Centro;Aracaju;SE;2800308;;79;3105
49015-130;Praça Tobias Barreto;s/n;São José;Aracaju;SE;2800308;;79;3105
49010-903;Praça Fausto Cardoso;112;Centro;Aracaju;SE;2800308;;79;3105
49082-200;Praça Francisco Rosa;s/n;Novo Paraíso;Aracaju;SE;2800308;;79;3105
49037-353;Praça Recanto da Paz;s/n;Aeroporto;Aracaju;SE;2800308;;79;3105
49037-170;Praça Durval Andrade;s/n;Atalaia;Aracaju;SE;2800308;;79;3105
49032-110;Praça dos Navegantes;s/n;Farolândia;Aracaju;SE;2800308;;79;3105
49045-130;Praça Carlos Hardman;s/n;Luzia;Aracaju;SE;2800308;;79;3105
49010-905;Praça Fausto Cardoso;s/n;Centro;Aracaju;SE;2800308;;79;3105
49015-180;Praça Graccho Cardoso;s/n;São José;Aracaju;SE;2800308;;79;3105
49097-630;Praça Santiago Dantas;s/n;Ponto Novo;Aracaju;SE;2800308;;79;3105
49010-040;Praça Olímpio Campos;s/n;Centro;Aracaju;SE;2800308;;79;3105
49087-620;Praça Valteno Menezes;s/n;Santos Dumont;Aracaju;SE;2800308;;79;3105
49040-770;Praça Monteiro Lobato;s/n;Inácio Barbosa;Aracaju;SE;2800308;;79;3105
49015-340;Praça Getúlio Vargas;s/n;São José;Aracaju;SE;2800308;;79;3105
49030-010;Praça Acrísio Garcez;s/n;Farolândia;Aracaju;SE;2800308;;79;3105
49060-560;Praça Princesa Isabel;s/n;Santo Antônio;Aracaju;SE;2800308;;79;3105
49082-420;Praça Roberto Fonseca;s/n;Novo Paraíso;Aracaju;SE;2800308;;79;3105
49010-270;Praça Godofredo Diniz;s/n;Centro;Aracaju;SE;2800308;;79;3105
77060-151;Praça Brasília;s/n;Jardim Aureny I;Palmas;TO;1721000;;63;9733
77001-002;Praça Girassóis;s/n;Plano Diretor Norte;Palmas;TO;1721000;;63;9733
77001-908;Praça Girassóis;s/n;Plano Diretor Norte;Palmas;TO;1721000;;63;9733
77001-902;Praça Girassóis;s/n;Plano Diretor Norte;Palmas;TO;1721000;;63;9733
77001-910;Praça Girassóis;s/n;Plano Diretor Norte;Palmas;TO;1721000;;63;9733
77001-900;Praça Girassóis;s/n;Plano Diretor Norte;Palmas;TO;1721000;;63;9733
77001-904;Praça Girassóis;s/n;Plano Diretor Norte;Palmas;TO;1721000;;63;9733
77001-906;Praça Girassóis;s/n;Plano Diretor Norte;Palmas;TO;1721000;;63;9733
77015-900;Praça dos Girassóis;s/n;Plano Diretor Sul;Palmas;TO;1721000;;63;9733
77015-007;Praça dos Girassóis;s/n;Plano Diretor Sul;Palmas;TO;1721000;;63;9733
